"Income statement for municipalities, SEK thousands by region, Income statement and year"

"region","Income statement","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1231 Burlöv","General grants and equalisation grants",64512,62858,66703,82269,96322,87685,79790,100265,105362,129771,145954,157218,189019,185453,179962,206620,231132,235330,261035,291992,308654,343427,434160,412854,437617
"1231 Burlöv","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-61081,28919,51510,143439
"1231 Burlöv","Financial income",4243,4708,7070,19797,13092,26244,7189,39387,9877,14132,21227,29129,8344,14003,20924,21154,17468,15864,13318,13390,15352,77038,13397,44362,9699
"1231 Burlöv","Financial costs",-697,-549,-383,-375,-390,-353,-343,-295,-306,-5340,-23281,-2288,-4696,-10607,-7157,-6832,-7062,-4829,-9602,-9685,-8203,-32074,-2181,-12787,-43800
"1231 Burlöv","Net profit/loss after financial items",3132,20586,7195,39386,13923,41582,20586,37721,25275,93050,2585,39768,38922,12361,21839,-953,101550,9645,60058,103122,74624,-16117,40135,83085,109338
"1231 Burlöv","Net profit/loss for the year",3132,20586,7195,39386,13923,41582,20586,37721,196730,93050,2585,39768,38922,12361,21839,-953,101550,9645,60058,103122,74624,-16117,40135,83085,109338
"1233 Vellinge","Total income for operations",150164,154765,168411,177170,186335,195516,226874,238873,267370,243821,291057,272541,266291,283701,312995,320662,314161,383820,456133,456987,453867,468500,479824,515623,544610
"1233 Vellinge","Total costs for operations",-772268,-806010,-833092,-895303,-962872,-988334,-1039793,-1111696,-1166465,-1255730,-1394650,-1381021,-1422719,-1491135,-1572256,-1609862,-1672371,-1764248,-1912830,-1979073,-2056300,-2150800,-2162318,-2242723,-2351440
"1233 Vellinge","Total net current costs",-658167,-695092,-712509,-779353,-834665,-855803,-878042,-938646,-973491,-1076697,-1173594,-1180935,-1211089,-1265408,-1325611,-1357500,-1427265,-1452132,-1529661,-1608586,-1690077,-1792300,-1780176,-1837300,-1916964
"1233 Vellinge","Tax revenues",675167,726133,800572,871988,930473,1034468,1096556,1105882,1126803,1185809,1258005,1301860,1302489,1349920,1403336,1458883,1482352,1550536,1634605,1712319,1750494,1818134,1855090,1972778,2145739
"1233 Vellinge","General grants and equalisation grants",-46139,-60787,-93983,-117181,-135308,-144800,-155260,-104443,-99329,-77843,-91672,-102524,-22379,-41815,-64040,-68987,-51680,-60495,-72196,-77875,-56393,5998,50402,48945,-10022
"1233 Vellinge","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31832,125316,184423,218753
"1233 Vellinge","Financial income",41825,37660,34209,6010,5328,43272,30761,21499,58643,21188,23884,66652,14130,18162,28540,44300,28582,22250,66541,44990,30344,91700,47326,118500,19991
"1233 Vellinge","Financial costs",-4967,-6476,-8619,-7948,-65049,-13428,-10507,-9959,-6137,-10798,-64208,-13679,-12343,-34211,-29291,-34200,-24025,-19592,-14886,-17650,-12800,-14000,-22707,-16100,-104628
"1233 Vellinge","Net profit/loss after financial items",7146,544,18671,-26937,-99924,63321,83539,74434,106064,40914,-48899,69263,70062,26648,12934,42496,7964,40567,84403,53198,21568,109532,149935,286823,134116
"1233 Vellinge","Net profit/loss for the year",7146,544,18671,-26937,-99924,63321,83539,74434,106064,40914,-48899,69263,62,26648,12934,6496,7964,40567,84403,53198,21568,109532,149935,286823,134116
"1256 Östra Göinge","Total income for operations",80015,78320,77299,80339,93180,100994,97711,95357,108514,111684,121687,126047,125794,131023,148747,143123,141852,167305,242370,267028,263453,257585,290857,239170,262858
"1256 Östra Göinge","Total costs for operations",-436959,-451036,-475008,-505533,-538951,-558711,-565949,-579114,-594427,-630144,-663423,-686197,-694298,-733219,-745391,-755961,-771200,-824677,-969778,-1023098,-1076142,-1123241,-1194717,-1197857,-1222358
"1256 Östra Göinge","Total net current costs",-375664,-398491,-414857,-452196,-475431,-492550,-500985,-519792,-520607,-555832,-579953,-585063,-605569,-629110,-626234,-646873,-659539,-692058,-761057,-790143,-847484,-902796,-948756,-1008664,-1020935
"1256 Östra Göinge","Tax revenues",285626,306410,326276,349904,365000,366809,370377,383498,409055,421624,458560,459793,464435,461689,470076,481229,486527,506919,521103,540767,555208,563955,561225,598405,629533
"1256 Östra Göinge","General grants and equalisation grants",97543,96164,97866,109226,118957,129295,130758,137031,140104,144521,146778,146828,160797,178244,176348,184903,194449,230138,263508,268435,303910,346749,410139,431192,453678
"1256 Östra Göinge","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7908,22608,20933,62276
"1256 Östra Göinge","Financial income",3267,1518,986,1223,1353,2286,1598,1354,985,1506,1276,2346,1028,2193,2854,1833,1786,1633,3308,2164,9964,10474,5157,11907,3958
"1256 Östra Göinge","Financial costs",-4877,-2764,-1836,-2850,-2863,-2732,-1960,-1769,-2329,-4084,-4356,-1558,-1241,-2045,-2085,-1640,-3636,-3145,-165,-450,-195,-529,-719,-455,-8471
"1256 Östra Göinge","Net profit/loss after financial items",5620,2187,7980,5154,6882,2970,-398,148,27075,7613,22192,22242,19357,10971,20959,19452,19587,43487,26697,20773,21403,17853,27046,32385,57763
"1256 Östra Göinge","Net profit/loss for the year",5620,2187,7980,5154,6882,2970,-398,148,27075,7613,22192,22242,19357,10971,20959,19452,19587,43487,26697,20773,21403,17853,27046,32385,57763
"1257 Örkelljunga","Total income for operations",63332,56655,54366,54759,61900,66547,78769,107036,106563,114425,113577,116418,113278,142454,155195,112333,103111,137659,190670,166169,147734,126884,144250,145157,144811
"1257 Örkelljunga","Total costs for operations",-281306,-293156,-291704,-305937,-313770,-347551,-363698,-398933,-412872,-422656,-446962,-459851,-459036,-525903,-533909,-502362,-517889,-558618,-638252,-649870,-648370,-651270,-666081,-712714,-738448
"1257 Örkelljunga","Total net current costs",-232852,-252441,-254558,-270318,-272362,-302650,-307477,-315515,-330471,-336228,-359840,-362502,-365752,-404303,-400909,-412421,-439458,-445593,-473034,-510041,-527540,-551799,-550770,-605490,-622729
"1257 Örkelljunga","Tax revenues",155682,170080,185572,199018,203127,209239,214996,224973,242227,251505,261515,262029,266908,274996,277788,283613,288747,312631,323095,339783,351088,362840,361794,386668,413970
"1257 Örkelljunga","General grants and equalisation grants",71266,69830,76564,81708,89107,93462,88267,91476,91580,94916,104908,104127,117283,118789,122009,124757,148819,140547,171305,167195,170672,180306,216632,226072,239345
"1257 Örkelljunga","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-8653,27656,7250,30586
"1257 Örkelljunga","Financial income",18573,17857,13373,4782,2619,3440,9306,8865,16220,5876,7815,34668,11739,5784,7193,4547,16969,20883,2885,18087,16732,32761,21514,44738,1973
"1257 Örkelljunga","Financial costs",-576,-478,-1413,-1612,-2327,-2870,-2801,-2025,-2778,-4715,-8015,-3842,-3075,-7147,-4462,-4552,-4087,-3782,-2967,-2026,-1626,-1702,-6045,-2141,-45927
"1257 Örkelljunga","Net profit/loss after financial items",11969,4536,19198,13476,20164,540,2223,7738,16745,11272,6210,34219,27034,-11881,1619,-4056,10990,24686,21284,12998,9326,22406,43125,49847,-13368
"1257 Örkelljunga","Net profit/loss for the year",11969,4536,19198,13476,11303,1134,2223,7738,16745,11272,-22098,34219,27034,-11881,1619,-4056,10990,24686,21284,12998,9326,22406,43125,49847,-13368
"1260 Bjuv","Total income for operations",94939,91125,97337,99121,109458,107868,111489,115429,137662,128986,120777,122135,131627,139055,162101,160816,158433,175030,247666,247319,241512,216467,213483,226484,245831
"1260 Bjuv","Total costs for operations",-401839,-394617,-424316,-463642,-498810,-533819,-540141,-555544,-592030,-627749,-652250,-690174,-736803,-740360,-787127,-806929,-828136,-877703,-1000703,-1018204,-1045042,-1045452,-1076429,-1111258,-1184348
"1260 Bjuv","Total net current costs",-326100,-326719,-352710,-385272,-411278,-450130,-455176,-466672,-484036,-534167,-567279,-588192,-629298,-628156,-651215,-671590,-695721,-728466,-778653,-799069,-833984,-866709,-902062,-931212,-988768
"1260 Bjuv","Tax revenues",277351,293644,316553,334181,347707,353160,371896,381174,404772,416234,436561,442690,453103,468346,480492,493558,507059,525778,548449,574590,592548,618876,608817,642968,682550
"1260 Bjuv","General grants and equalisation grants",65200,60675,63056,69746,77931,96875,90673,101614,102118,128117,143594,154276,174673,180035,184315,193353,208123,210332,232913,237319,247248,253138,318115,330819,347566
"1260 Bjuv","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5305,24870,42575,41348
"1260 Bjuv","Financial income",22932,14297,15392,15644,14946,14725,13458,13870,12433,11328,8757,8727,7206,7272,7231,6017,6192,5874,4695,1454,1879,1554,2817,58377,2414
"1260 Bjuv","Financial costs",-30905,-23903,-24336,-23524,-23082,-22587,-19306,-18874,-16733,-15864,-13503,-11373,-11055,-12304,-11640,-9187,-8360,-5978,-4450,-863,-1609,-2297,-3804,-4525,-7641
"1260 Bjuv","Net profit/loss after financial items",6378,17631,17703,10775,6224,-7957,1545,11112,18554,5648,8130,6128,-5370,15193,9183,12151,17293,7540,2954,13431,6082,4562,23883,96427,36121
"1260 Bjuv","Net profit/loss for the year",6378,12575,17703,10775,6224,-7957,1545,11112,18554,5648,8130,6128,-5370,15193,9183,12151,17293,7540,2954,13431,6082,4562,23883,96427,36121
"1261 Kävlinge","Total income for operations",135798,161825,147973,213252,228312,203429,213878,227604,249907,236281,235860,226555,229659,269495,282599,279333,280015,328986,396403,384843,359980,343846,339324,366761,362414
"1261 Kävlinge","Total costs for operations",-647605,-701199,-713010,-807882,-855461,-890792,-919599,-962331,-1036916,-1089328,-1155289,-1196625,-1250698,-1348302,-1399679,-1428028,-1473341,-1567608,-1710625,-1780641,-1810029,-2179696,-2079294,-2014270,-2060942
"1261 Kävlinge","Total net current costs",-543523,-577715,-604282,-638283,-670462,-729983,-749548,-781578,-830209,-902214,-969565,-1003004,-1053724,-1115092,-1157184,-1194312,-1249911,-1286141,-1364581,-1454222,-1504963,-1863885,-1772535,-1692135,-1739869
"1261 Kävlinge","Tax revenues",486443,523638,567291,616423,650043,688766,720274,738221,795277,848078,915541,943466,973222,1026453,1073632,1121999,1150586,1193851,1253256,1307963,1340278,1387424,1404748,1503395,1609930
"1261 Kävlinge","General grants and equalisation grants",39701,31909,35823,39037,47283,30481,18902,54912,79187,95885,78543,98499,141629,125090,114046,125368,136965,132085,139935,158416,165645,206280,276866,281763,294402
"1261 Kävlinge","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-270181,-90921,93023,164463
"1261 Kävlinge","Financial income",13005,17831,20256,4290,8717,24029,23140,15247,11515,10944,14028,29971,9324,16223,15042,10261,9779,7520,11537,6115,85208,83237,140511,84811,12750
"1261 Kävlinge","Financial costs",-292,-264,-413,-6788,-24095,-135,-361,-1144,-787,-651,-12933,-3388,-2029,-206,-326,-642,-318,-804,-462,-2369,-545,-588,-117835,-834,-71030
"1261 Kävlinge","Net profit/loss after financial items",-4666,-4601,18675,14679,11486,13158,12407,25658,54983,52042,25614,65544,68422,52468,45210,62674,47101,46511,39685,15903,85623,-187532,-68245,177000,106183
"1261 Kävlinge","Net profit/loss for the year",-2995,-3351,18675,14679,11486,13158,12407,18927,43656,53381,25614,65544,68422,52468,45210,62674,47101,46511,39685,15903,85623,-187532,-68245,177000,106183
"1262 Lomma","Total income for operations",99997,101757,111815,108727,123686,118801,130468,180257,171138,150462,166110,160468,176962,182713,210998,202018,221439,239646,313776,304190,292746,278952,259088,233801,273649
"1262 Lomma","Total costs for operations",-508546,-537231,-577304,-626076,-654571,-672830,-695929,-720622,-753262,-821264,-912350,-955038,-986364,-1046770,-1096189,-1115773,-1204772,-1245505,-1359082,-1413243,-1461916,-1517393,-1536735,-1661007,-1622623
"1262 Lomma","Total net current costs",-437295,-466888,-496316,-549826,-563213,-590530,-604556,-578074,-621084,-713424,-794838,-835133,-855975,-914330,-941375,-977005,-1052339,-1079363,-1124703,-1194042,-1263597,-1327544,-1369202,-1527236,-1451739
"1262 Lomma","Tax revenues",435483,465065,506308,544894,587125,615838,650419,661835,705421,752234,804643,845619,878466,925551,986875,1045575,1083675,1147488,1223869,1293928,1330963,1386581,1413485,1478797,1594052
"1262 Lomma","General grants and equalisation grants",3707,-942,-4160,-5916,-19336,-29384,-32720,-22171,-26319,-11377,-4556,-21488,18962,11208,1021,-9695,-24857,-30644,-33536,-21373,-24481,5887,40737,55456,15273
"1262 Lomma","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64924,85020,7017,157586
"1262 Lomma","Financial income",18070,14048,24303,20688,6902,23545,15767,15235,25373,8545,7886,29118,5757,9272,9462,14802,14232,6063,8836,8950,34808,45657,15940,68089,26561
"1262 Lomma","Financial costs",-6573,-2176,-2851,-12139,-29550,-9648,-4933,-2086,-6255,-4464,-20984,-2626,-4106,-13783,-11926,-12819,-16600,-11385,-9721,-12851,-6445,-5764,-9286,-9345,-67486
"1262 Lomma","Net profit/loss after financial items",13097,8455,26656,-2580,-18420,9503,23612,74468,76891,31254,-8034,15160,42935,17918,44057,60858,4111,32159,64745,74612,71248,104817,91675,65761,116661
"1262 Lomma","Net profit/loss for the year",13097,8455,26656,-2580,-18420,9503,23612,74468,76891,31254,111862,15160,42935,17918,44057,60858,4111,32159,64745,74612,71248,104817,91675,65761,116661
"1263 Svedala","Total income for operations",92445,91876,98840,114323,114166,116938,131208,126126,137304,128108,131960,138662,146134,154910,165843,207214,171479,197003,263947,260245,277226,270241,298120,354038,288694
"1263 Svedala","Total costs for operations",-502381,-525066,-543597,-596453,-620578,-647003,-671146,-693098,-713819,-762786,-815941,-857917,-888037,-921474,-957245,-1056496,-1072914,-1105075,-1215050,-1271631,-1348693,-1440194,-1608132,-1608552,-1623787
"1263 Svedala","Total net current costs",-437791,-465620,-477994,-514746,-543499,-564698,-575461,-607224,-627189,-680959,-734310,-755615,-782245,-803774,-841467,-893567,-931644,-945557,-992254,-1056738,-1119313,-1222624,-1369187,-1309053,-1386430
"1263 Svedala","Tax revenues",379519,405215,439956,472800,497496,525916,543267,560768,595018,625800,661983,675468,688935,721187,756170,788843,797162,833198,873494,907057,933068,965769,971631,1043898,1129153
"1263 Svedala","General grants and equalisation grants",55544,55220,47971,43285,49313,55057,47597,63144,71968,91145,90226,90395,125410,116208,102834,110125,126242,131646,151634,176523,190769,242500,319168,339940,334266
"1263 Svedala","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-14355,-78387,74786,76989
"1263 Svedala","Financial income",12000,12300,12736,5237,2944,14328,4629,1230,1618,3458,2409,2548,2151,2699,1642,2788,11705,6278,8773,6044,16441,42805,18495,53316,11857
"1263 Svedala","Financial costs",-8447,-9236,-10428,-12380,-23549,-8619,-6930,-6979,-6850,-7168,-7524,-3548,-3255,-4285,-3941,-5011,-3880,-4464,-3766,-2963,-2314,-2888,-2827,-2809,-40207
"1263 Svedala","Net profit/loss after financial items",397,-2785,12241,-5169,-18114,21326,12555,10939,34565,32276,12784,8753,30874,32035,15238,3178,-415,21101,37881,29923,18651,25562,-62719,125292,48639
"1263 Svedala","Net profit/loss for the year",397,-2785,12241,-5169,-18114,21326,12555,10939,34565,32276,12784,8753,30874,32035,15238,3178,-415,21101,37881,29923,18651,25562,-62719,125292,48639
"1264 Skurup","Total income for operations",116897,104226,104150,106757,112702,113574,116195,121362,128927,121456,132021,148178,164850,160192,173485,218682,172782,177816,244807,246224,269896,251346,268803,262664,277669
"1264 Skurup","Total costs for operations",-416755,-421100,-442832,-469273,-492802,-526060,-534638,-559825,-585145,-617299,-662863,-693530,-719855,-741812,-785713,-808125,-830582,-848556,-939382,-977692,-1034273,-1071777,-1073321,-1121604,-1205878
"1264 Skurup","Total net current costs",-325127,-344020,-365374,-391387,-411395,-445945,-452338,-475111,-493580,-536604,-571513,-574133,-583284,-610744,-644203,-623373,-690059,-699917,-725232,-763520,-797053,-855328,-838957,-893875,-964798
"1264 Skurup","Tax revenues",253274,268149,295289,317051,334225,349772,361275,378339,406741,429552,455428,463012,468953,484035,498674,515132,528563,552496,577007,621533,636352,662410,659649,699582,754949
"1264 Skurup","General grants and equalisation grants",82861,85569,86731,90930,96961,97935,90502,103546,104366,113293,121032,123409,140533,143932,139163,143228,153491,157344,160097,164769,171306,183412,232332,245414,248122
"1264 Skurup","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-9506,53024,51121,38273
"1264 Skurup","Financial income",2745,1345,1931,1452,1391,2522,4300,6969,1801,2011,1816,2728,2577,3286,2337,3107,3364,2181,3616,3284,4956,5141,4074,3707,6093
"1264 Skurup","Financial costs",-4160,-3032,-3070,-2518,-3074,-2878,-2735,-2682,-3495,-4515,-6804,-1858,-1010,-2924,-2719,-3178,-2402,-1932,-1319,-1453,-1087,-1059,-1204,-699,-3735
